Valores simples de edad	Sexo	Periodo	Total
68 años	Hombres	1 de enero de 1990	158.347,909874
68 años	Hombres	1 de julio de 1989	151.265,64566
68 años	Hombres	1 de enero de 1989	144.233,388951
68 años	Hombres	1 de julio de 1988	134.527,926545
68 años	Hombres	1 de enero de 1988	124.580,954199
68 años	Hombres	1 de julio de 1987	123.893,269562
68 años	Hombres	1 de enero de 1987	123.351,428874
68 años	Hombres	1 de julio de 1986	121.100,903357
68 años	Hombres	1 de enero de 1986	118.967,501355
68 años	Hombres	1 de julio de 1985	118.696,120975
68 años	Hombres	1 de enero de 1985	118.676,081412
68 años	Hombres	1 de julio de 1984	120.259,659366
68 años	Hombres	1 de enero de 1984	122.096,894647
68 años	Hombres	1 de julio de 1983	122.674,228507
68 años	Hombres	1 de enero de 1983	123.439,407691
68 años	Hombres	1 de julio de 1982	123.268,728982
68 años	Hombres	1 de enero de 1982	123.225,545207
68 años	Hombres	1 de julio de 1981	123.941,735801
68 años	Hombres	1 de enero de 1981	124.949,150659
68 años	Hombres	1 de julio de 1980	123.311,870619
68 años	Hombres	1 de enero de 1980	121.644,91348
68 años	Hombres	1 de julio de 1979	122.652,33155
68 años	Hombres	1 de enero de 1979	124.012,140508
68 años	Hombres	1 de julio de 1978	121.479,042773
68 años	Hombres	1 de enero de 1978	118.970,752203
68 años	Hombres	1 de julio de 1977	119.705,166621
68 años	Hombres	1 de enero de 1977	120.666,548657
68 años	Hombres	1 de julio de 1976	118.692,160212
68 años	Hombres	1 de enero de 1976	117.096,422372
68 años	Hombres	1 de julio de 1975	114.952,406044
68 años	Hombres	1 de enero de 1975	113.083,427393
68 años	Hombres	1 de julio de 1974	114.864,849961
68 años	Hombres	1 de enero de 1974	116.878,270516
68 años	Hombres	1 de julio de 1973	111.851,125058
68 años	Hombres	1 de enero de 1973	106.958,103633
68 años	Hombres	1 de julio de 1972	108.330,430342
68 años	Hombres	1 de enero de 1972	109.954,125752
68 años	Hombres	1 de julio de 1971	108.603,123843
68 años	Hombres	1 de enero de 1971	107.378,83
68 años	Mujeres	1 de julio de 2022	260.721,06311
68 años	Mujeres	1 de enero de 2022	260.405,857477
68 años	Mujeres	1 de julio de 2021	259.574,17081
68 años	Mujeres	1 de enero de 2021	259.173,484051
68 años	Mujeres	1 de julio de 2020	251.735,145587
68 años	Mujeres	1 de enero de 2020	244.376,807204
68 años	Mujeres	1 de julio de 2019	241.892,540311
68 años	Mujeres	1 de enero de 2019	239.394,273503
68 años	Mujeres	1 de julio de 2018	244.743,941795
68 años	Mujeres	1 de enero de 2018	250.446,610103
68 años	Mujeres	1 de julio de 2017	256.286,735807
68 años	Mujeres	1 de enero de 2017	262.459,861554
68 años	Mujeres	1 de julio de 2016	251.650,809331
68 años	Mujeres	1 de enero de 2016	241.041,90394
68 años	Mujeres	1 de julio de 2015	236.742,627821
68 años	Mujeres	1 de enero de 2015	232.530,786341
68 años	Mujeres	1 de julio de 2014	238.283,027999
68 años	Mujeres	1 de enero de 2014	244.104,552747
68 años	Mujeres	1 de julio de 2013	239.024,676994
68 años	Mujeres	1 de enero de 2013	234.058,320574
68 años	Mujeres	1 de julio de 2012	232.666,918574
68 años	Mujeres	1 de enero de 2012	231.554,365023
68 años	Mujeres	1 de julio de 2011	216.081,661929
68 años	Mujeres	1 de enero de 2011	200.639,039969
68 años	Mujeres	1 de julio de 2010	193.395,916128
68 años	Mujeres	1 de enero de 2010	186.065,755821
68 años	Mujeres	1 de julio de 2009	208.404,630684
68 años	Mujeres	1 de enero de 2009	231.009,313064
68 años	Mujeres	1 de julio de 2008	194.399,420597
68 años	Mujeres	1 de enero de 2008	157.602,775614
68 años	Mujeres	1 de julio de 2007	168.346,983248
68 años	Mujeres	1 de enero de 2007	179.136,911873
68 años	Mujeres	1 de julio de 2006	190.429,117804
68 años	Mujeres	1 de enero de 2006	201.854,505021
68 años	Mujeres	1 de julio de 2005	213.772,871004
68 años	Mujeres	1 de enero de 2005	225.997,616454
68 años	Mujeres	1 de julio de 2004	222.109,437587
68 años	Mujeres	1 de enero de 2004	218.217,949811
68 años	Mujeres	1 de julio de 2003	218.432,324067
68 años	Mujeres	1 de enero de 2003	218.638,946386
68 años	Mujeres	1 de julio de 2002	222.677,513538
68 años	Mujeres	1 de enero de 2002	227.000,633059
68 años	Mujeres	1 de julio de 2001	226.191,265625
68 años	Mujeres	1 de enero de 2001	225.788,328125
68 años	Mujeres	1 de julio de 2000	221.069,4375
68 años	Mujeres	1 de enero de 2000	216.522,90625
68 años	Mujeres	1 de julio de 1999	219.667,03125
68 años	Mujeres	1 de enero de 1999	223.095
68 años	Mujeres	1 de julio de 1998	217.783,5
68 años	Mujeres	1 de enero de 1998	212.505,25
68 años	Mujeres	1 de julio de 1997	213.239,1875
68 años	Mujeres	1 de enero de 1997	214.110,4375
68 años	Mujeres	1 de julio de 1996	207.967,5
68 años	Mujeres	1 de enero de 1996	201.990
68 años	Mujeres	1 de julio de 1995	203.918,09375
68 años	Mujeres	1 de enero de 1995	206.071,78125
68 años	Mujeres	1 de julio de 1994	203.411,84375
68 años	Mujeres	1 de enero de 1994	200.935,265625
68 años	Mujeres	1 de julio de 1993	200.215,1875
68 años	Mujeres	1 de enero de 1993	199.606,765625
68 años	Mujeres	1 de julio de 1992	197.038,875
68 años	Mujeres	1 de enero de 1992	194.602,234375
68 años	Mujeres	1 de julio de 1991	196.528,1875
68 años	Mujeres	1 de enero de 1991	198.521,093138
68 años	Mujeres	1 de julio de 1990	190.299,417639
68 años	Mujeres	1 de enero de 1990	182.048,05976
68 años	Mujeres	1 de julio de 1989	182.412,975918
68 años	Mujeres	1 de enero de 1989	183.034,483543
68 años	Mujeres	1 de julio de 1988	171.123,551598
68 años	Mujeres	1 de enero de 1988	159.040,261988
68 años	Mujeres	1 de julio de 1987	161.595,682901
68 años	Mujeres	1 de enero de 1987	164.434,03746
68 años	Mujeres	1 de julio de 1986	160.795,11531
68 años	Mujeres	1 de enero de 1986	157.165,403167
68 años	Mujeres	1 de julio de 1985	156.773,719542
68 años	Mujeres	1 de enero de 1985	156.709,155077
68 años	Mujeres	1 de julio de 1984	158.704,736036
68 años	Mujeres	1 de enero de 1984	160.876,715086
68 años	Mujeres	1 de julio de 1983	161.718,115558
68 años	Mujeres	1 de enero de 1983	162.835,743256
68 años	Mujeres	1 de julio de 1982	161.612,299963
68 años	Mujeres	1 de enero de 1982	160.416,049484
68 años	Mujeres	1 de julio de 1981	161.329,99102
68 años	Mujeres	1 de enero de 1981	162.398,409013
68 años	Mujeres	1 de julio de 1980	158.978,526226
68 años	Mujeres	1 de enero de 1980	155.540,641805
68 años	Mujeres	1 de julio de 1979	159.814,282661
68 años	Mujeres	1 de enero de 1979	164.539,445494
68 años	Mujeres	1 de julio de 1978	158.099,771392
68 años	Mujeres	1 de enero de 1978	151.347,150658
68 años	Mujeres	1 de julio de 1977	151.152,651202
68 años	Mujeres	1 de enero de 1977	151.341,369151
68 años	Mujeres	1 de julio de 1976	149.175,381768
68 años	Mujeres	1 de enero de 1976	147.324,503401
68 años	Mujeres	1 de julio de 1975	145.946,056305
68 años	Mujeres	1 de enero de 1975	144.778,270029
68 años	Mujeres	1 de julio de 1974	147.414,531191
68 años	Mujeres	1 de enero de 1974	150.334,566463
68 años	Mujeres	1 de julio de 1973	145.912,423718
68 años	Mujeres	1 de enero de 1973	141.621,66039
68 años	Mujeres	1 de julio de 1972	140.464,015122
68 años	Mujeres	1 de enero de 1972	139.507,468393
68 años	Mujeres	1 de julio de 1971	138.636,278928
68 años	Mujeres	1 de enero de 1971	137.845,8
69 años	Ambos sexos	1 de julio de 2022	490.246,73135
69 años	Ambos sexos	1 de enero de 2022	489.623,034725
69 años	Ambos sexos	1 de julio de 2021	474.912,414904
69 años	Ambos sexos	1 de enero de 2021	460.620,795146
69 años	Ambos sexos	1 de julio de 2020	456.431,832489
69 años	Ambos sexos	1 de enero de 2020	452.749,869883
69 años	Ambos sexos	1 de julio de 2019	461.380,584501
69 años	Ambos sexos	1 de enero de 2019	470.395,299178
69 años	Ambos sexos	1 de julio de 2018	481.398,289084
69 años	Ambos sexos	1 de enero de 2018	493.338,279138
69 años	Ambos sexos	1 de julio de 2017	473.275,616465
69 años	Ambos sexos	1 de enero de 2017	453.364,953928
69 años	Ambos sexos	1 de julio de 2016	444.259,935125
69 años	Ambos sexos	1 de enero de 2016	435.591,997466
69 años	Ambos sexos	1 de julio de 2015	446.335,893642
69 años	Ambos sexos	1 de enero de 2015	457.808,934958
69 años	Ambos sexos	1 de julio de 2014	448.141,34609
69 años	Ambos sexos	1 de enero de 2014	438.683,027288
69 años	Ambos sexos	1 de julio de 2013	436.581,866248
69 años	Ambos sexos	1 de enero de 2013	434.709,882409
69 años	Ambos sexos	1 de julio de 2012	406.390,484584
69 años	Ambos sexos	1 de enero de 2012	378.038,124353
69 años	Ambos sexos	1 de julio de 2011	364.201,523785
69 años	Ambos sexos	1 de enero de 2011	350.470,515679
69 años	Ambos sexos	1 de julio de 2010	391.272,521278
69 años	Ambos sexos	1 de enero de 2010	432.844,409186
69 años	Ambos sexos	1 de julio de 2009	362.425,84895
69 años	Ambos sexos	1 de enero de 2009	291.608,553697
69 años	Ambos sexos	1 de julio de 2008	312.356,943052
69 años	Ambos sexos	1 de enero de 2008	333.437,853741
69 años	Ambos sexos	1 de julio de 2007	354.094,811969
69 años	Ambos sexos	1 de enero de 2007	375.312,400497
69 años	Ambos sexos	1 de julio de 2006	394.747,298498
69 años	Ambos sexos	1 de enero de 2006	414.830,242113
69 años	Ambos sexos	1 de julio de 2005	409.539,877818
69 años	Ambos sexos	1 de enero de 2005	404.478,015357
69 años	Ambos sexos	1 de julio de 2004	404.183,554261
69 años	Ambos sexos	1 de enero de 2004	404.167,001328
69 años	Ambos sexos	1 de julio de 2003	411.467,964909
69 años	Ambos sexos	1 de enero de 2003	419.203,844742
69 años	Ambos sexos	1 de julio de 2002	417.468,360262
69 años	Ambos sexos	1 de enero de 2002	416.148,833387
69 años	Ambos sexos	1 de julio de 2001	407.550,109375
69 años	Ambos sexos	1 de enero de 2001	399.490,40625
69 años	Ambos sexos	1 de julio de 2000	402.923,3125
69 años	Ambos sexos	1 de enero de 2000	407.001,265625
69 años	Ambos sexos	1 de julio de 1999	397.331,21875
69 años	Ambos sexos	1 de enero de 1999	388.082,984375
69 años	Ambos sexos	1 de julio de 1998	388.667,9375
69 años	Ambos sexos	1 de enero de 1998	389.670,765625
69 años	Ambos sexos	1 de julio de 1997	378.797,625
69 años	Ambos sexos	1 de enero de 1997	368.323,703125
69 años	Ambos sexos	1 de julio de 1996	371.778,75
69 años	Ambos sexos	1 de enero de 1996	375.743,34375
69 años	Ambos sexos	1 de julio de 1995	369.039,09375
69 años	Ambos sexos	1 de enero de 1995	362.711,75
69 años	Ambos sexos	1 de julio de 1994	361.238,15625
69 años	Ambos sexos	1 de enero de 1994	360.060,015625
69 años	Ambos sexos	1 de julio de 1993	356.547,515625
69 años	Ambos sexos	1 de enero de 1993	353.420,03125
69 años	Ambos sexos	1 de julio de 1992	354.028
69 años	Ambos sexos	1 de enero de 1992	355.117,90625
69 años	Ambos sexos	1 de julio de 1991	344.573,9375
69 años	Ambos sexos	1 de enero de 1991	334.195,995664
69 años	Ambos sexos	1 de julio de 1990	327.365,548633
69 años	Ambos sexos	1 de enero de 1990	320.982,700574
69 años	Ambos sexos	1 de julio de 1989	299.899,673838
69 años	Ambos sexos	1 de enero de 1989	278.499,779497
69 años	Ambos sexos	1 de julio de 1988	280.160,238158
69 años	Ambos sexos	1 de enero de 1988	282.236,474414
69 años	Ambos sexos	1 de julio de 1987	276.527,693237
69 años	Ambos sexos	1 de enero de 1987	270.802,245582
69 años	Ambos sexos	1 de julio de 1986	269.850,721602
69 años	Ambos sexos	1 de enero de 1986	269.493,657599
69 años	Ambos sexos	1 de julio de 1985	272.871,261092
69 años	Ambos sexos	1 de enero de 1985	276.876,920003
69 años	Ambos sexos	1 de julio de 1984	278.245,081795
69 años	Ambos sexos	1 de enero de 1984	280.002,316137
69 años	Ambos sexos	1 de julio de 1983	278.392,006375
69 años	Ambos sexos	1 de enero de 1983	277.470,384361
69 años	Ambos sexos	1 de julio de 1982	279.051,134391
69 años	Ambos sexos	1 de enero de 1982	280.949,266525
69 años	Ambos sexos	1 de julio de 1981	276.147,099885
69 años	Ambos sexos	1 de enero de 1981	271.662,026501
69 años	Ambos sexos	1 de julio de 1980	276.289,172576
69 años	Ambos sexos	1 de enero de 1980	281.630,231508
69 años	Ambos sexos	1 de julio de 1979	273.175,599169
69 años	Ambos sexos	1 de enero de 1979	264.417,827335
69 años	Ambos sexos	1 de julio de 1978	264.890,557269
69 años	Ambos sexos	1 de enero de 1978	265.838,472222
69 años	Ambos sexos	1 de julio de 1977	261.499,336752
69 años	Ambos sexos	1 de enero de 1977	257.841,960922
69 años	Ambos sexos	1 de julio de 1976	254.062,298952
69 años	Ambos sexos	1 de enero de 1976	251.075,33552
69 años	Ambos sexos	1 de julio de 1975	254.652,550001
69 años	Ambos sexos	1 de enero de 1975	259.403,103084
69 años	Ambos sexos	1 de julio de 1974	250.508,44476
69 años	Ambos sexos	1 de enero de 1974	241.476,460204
69 años	Ambos sexos	1 de julio de 1973	241.727,235349
69 años	Ambos sexos	1 de enero de 1973	242.597,127913
69 años	Ambos sexos	1 de julio de 1972	240.100,178656
69 años	Ambos sexos	1 de enero de 1972	238.014,54824
69 años	Ambos sexos	1 de julio de 1971	227.479,567955
69 años	Ambos sexos	1 de enero de 1971	216.968,09
69 años	Hombres	1 de julio de 2022	231.973,060549
69 años	Hombres	1 de enero de 2022	232.324,550674
69 años	Hombres	1 de julio de 2021	224.975,269319
69 años	Hombres	1 de enero de 2021	217.835,987942
69 años	Hombres	1 de julio de 2020	215.738,292183
69 años	Hombres	1 de enero de 2020	214.028,59638
69 años	Hombres	1 de julio de 2019	217.510,642706
69 años	Hombres	1 de enero de 2019	221.125,689075
69 años	Hombres	1 de julio de 2018	226.592,053276
69 años	Hombres	1 de enero de 2018	232.572,417584
69 años	Hombres	1 de julio de 2017	223.257,131291
69 años	Hombres	1 de enero de 2017	213.880,845031
69 años	Hombres	1 de julio de 2016	209.101,835537
69 años	Hombres	1 de enero de 2016	204.603,11712
69 años	Hombres	1 de julio de 2015	209.784,338341
69 años	Hombres	1 de enero de 2015	215.396,770111
69 años	Hombres	1 de julio de 2014	210.943,85553
69 años	Hombres	1 de enero de 2014	206.580,163491
69 años	Hombres	1 de julio de 2013	205.648,558558
69 años	Hombres	1 de enero de 2013	204.795,339395
69 años	Hombres	1 de julio de 2012	191.702,21094
69 años	Hombres	1 de enero de 2012	178.614,387692
69 años	Hombres	1 de julio de 2011	172.062,751325
69 años	Hombres	1 de enero de 2011	165.577,678293
69 años	Hombres	1 de julio de 2010	184.183,786641
69 años	Hombres	1 de enero de 2010	203.289,056089
69 años	Hombres	1 de julio de 2009	169.319,985172
69 años	Hombres	1 de enero de 2009	135.037,355897
69 años	Hombres	1 de julio de 2008	144.935,9416
69 años	Hombres	1 de enero de 2008	155.131,091392
69 años	Hombres	1 de julio de 2007	164.595,588723
69 años	Hombres	1 de enero de 2007	174.431,000041
69 años	Hombres	1 de julio de 2006	182.131,343473
69 años	Hombres	1 de enero de 2006	190.215,680783
69 años	Hombres	1 de julio de 2005	188.647,388349
69 años	Hombres	1 de enero de 2005	187.332,972956
69 años	Hombres	1 de julio de 2004	186.891,969849
69 años	Hombres	1 de enero de 2004	186.647,943977
69 años	Hombres	1 de julio de 2003	189.935,188236
69 años	Hombres	1 de enero de 2003	193.527,445824
69 años	Hombres	1 de julio de 2002	192.558,668971
69 años	Hombres	1 de enero de 2002	191.931,291954
69 años	Hombres	1 de julio de 2001	188.216,125
69 años	Hombres	1 de enero de 2001	184.821,8125
69 años	Hombres	1 de julio de 2000	185.198,4375
69 años	Hombres	1 de enero de 2000	185.984,265625
69 años	Hombres	1 de julio de 1999	181.589,46875
69 años	Hombres	1 de enero de 1999	177.506,234375
69 años	Hombres	1 de julio de 1998	177.407,0625
69 años	Hombres	1 de enero de 1998	177.581,453125
69 años	Hombres	1 de julio de 1997	172.797,1875
69 años	Hombres	1 de enero de 1997	168.308,703125
69 años	Hombres	1 de julio de 1996	169.926,75
69 años	Hombres	1 de enero de 1996	171.796,75
69 años	Hombres	1 de julio de 1995	167.847,296875
69 años	Hombres	1 de enero de 1995	164.028,390625
69 años	Hombres	1 de julio de 1994	163.363,03125
69 años	Hombres	1 de enero de 1994	162.837,46875
69 años	Hombres	1 de julio de 1993	161.886,609375
69 años	Hombres	1 de enero de 1993	161.183,515625
69 años	Hombres	1 de julio de 1992	159.938,75
69 años	Hombres	1 de enero de 1992	159.023,703125
69 años	Hombres	1 de julio de 1991	156.523,90625
69 años	Hombres	1 de enero de 1991	154.163,129984
69 años	Hombres	1 de julio de 1990	147.153,858265
69 años	Hombres	1 de enero de 1990	140.293,594051
69 años	Hombres	1 de julio de 1989	130.861,14159
69 años	Hombres	1 de enero de 1989	121.300,179189
69 años	Hombres	1 de julio de 1988	120.599,150592
69 años	Hombres	1 de enero de 1988	120.025,965944
69 años	Hombres	1 de julio de 1987	117.831,316922
69 años	Hombres	1 de enero de 1987	115.664,791415
69 años	Hombres	1 de julio de 1986	115.339,070215
69 años	Hombres	1 de enero de 1986	115.261,689832
69 años	Hombres	1 de julio de 1985	116.665,610461
69 años	Hombres	1 de enero de 1985	118.503,188417
69 años	Hombres	1 de julio de 1984	119.022,676962
69 años	Hombres	1 de enero de 1984	119.771,010831
69 años	Hombres	1 de julio de 1983	119.498,837177
69 años	Hombres	1 de enero de 1983	119.572,158457
69 años	Hombres	1 de julio de 1982	120.202,694166
69 años	Hombres	1 de enero de 1982	121.051,384764
69 años	Hombres	1 de julio de 1981	119.563,705289
69 años	Hombres	1 de enero de 1981	118.284,154925
69 años	Hombres	1 de julio de 1980	119.051,182118
69 años	Hombres	1 de enero de 1980	120.017,600197
69 años	Hombres	1 de julio de 1979	117.562,195308
69 años	Hombres	1 de enero de 1979	115.153,597569
69 años	Hombres	1 de julio de 1978	115.957,54436
69 años	Hombres	1 de enero de 1978	116.884,458771
69 años	Hombres	1 de julio de 1977	114.836,419722
69 años	Hombres	1 de enero de 1977	113.131,031278
69 años	Hombres	1 de julio de 1976	110.861,977252
69 años	Hombres	1 de enero de 1976	108.984,960919
69 años	Hombres	1 de julio de 1975	110.354,766148
69 años	Hombres	1 de enero de 1975	112.290,897681
69 años	Hombres	1 de julio de 1974	107.697,111711
69 años	Hombres	1 de enero de 1974	102.985,497316
69 años	Hombres	1 de julio de 1973	104.357,015051
69 años	Hombres	1 de enero de 1973	106.084,664105
69 años	Hombres	1 de julio de 1972	104.561,761261
69 años	Hombres	1 de enero de 1972	103.268,598905
69 años	Hombres	1 de julio de 1971	100.018,455516
69 años	Hombres	1 de enero de 1971	96.904,31
69 años	Mujeres	1 de julio de 2022	258.273,670801
69 años	Mujeres	1 de enero de 2022	257.298,484051
69 años	Mujeres	1 de julio de 2021	249.937,145585
69 años	Mujeres	1 de enero de 2021	242.784,807204
69 años	Mujeres	1 de julio de 2020	240.693,540306
69 años	Mujeres	1 de enero de 2020	238.721,273503
69 años	Mujeres	1 de julio de 2019	243.869,941795
69 años	Mujeres	1 de enero de 2019	249.269,610103
69 años	Mujeres	1 de julio de 2018	254.806,235808
69 años	Mujeres	1 de enero de 2018	260.765,861554
69 años	Mujeres	1 de julio de 2017	250.018,485174
69 años	Mujeres	1 de enero de 2017	239.484,108897
69 años	Mujeres	1 de julio de 2016	235.158,099588
69 años	Mujeres	1 de enero de 2016	230.988,880346
69 años	Mujeres	1 de julio de 2015	236.551,555301
69 años	Mujeres	1 de enero de 2015	242.412,164847
69 años	Mujeres	1 de julio de 2014	237.197,49056
69 años	Mujeres	1 de enero de 2014	232.102,863797
69 años	Mujeres	1 de julio de 2013	230.933,30769
69 años	Mujeres	1 de enero de 2013	229.914,543014
69 años	Mujeres	1 de julio de 2012	214.688,273644
69 años	Mujeres	1 de enero de 2012	199.423,736661
69 años	Mujeres	1 de julio de 2011	192.138,77246
69 años	Mujeres	1 de enero de 2011	184.892,837386
69 años	Mujeres	1 de julio de 2010	207.088,734637
69 años	Mujeres	1 de enero de 2010	229.555,353097
69 años	Mujeres	1 de julio de 2009	193.105,863778
69 años	Mujeres	1 de enero de 2009	156.571,1978
69 años	Mujeres	1 de julio de 2008	167.421,001452
69 años	Mujeres	1 de enero de 2008	178.306,762349
69 años	Mujeres	1 de julio de 2007	189.499,223246
69 años	Mujeres	1 de enero de 2007	200.881,400456
69 años	Mujeres	1 de julio de 2006	212.615,955025
69 años	Mujeres	1 de enero de 2006	224.614,56133
69 años	Mujeres	1 de julio de 2005	220.892,489469
69 años	Mujeres	1 de enero de 2005	217.145,042401
69 años	Mujeres	1 de julio de 2004	217.291,584412
69 años	Mujeres	1 de enero de 2004	217.519,057351
69 años	Mujeres	1 de julio de 2003	221.532,776673
69 años	Mujeres	1 de enero de 2003	225.676,398918
69 años	Mujeres	1 de julio de 2002	224.909,691291
69 años	Mujeres	1 de enero de 2002	224.217,541433
69 años	Mujeres	1 de julio de 2001	219.333,984375
69 años	Mujeres	1 de enero de 2001	214.668,59375
69 años	Mujeres	1 de julio de 2000	217.724,875
69 años	Mujeres	1 de enero de 2000	221.017
69 años	Mujeres	1 de julio de 1999	215.741,75
69 años	Mujeres	1 de enero de 1999	210.576,75
69 años	Mujeres	1 de julio de 1998	211.260,875
69 años	Mujeres	1 de enero de 1998	212.089,3125
69 años	Mujeres	1 de julio de 1997	206.000,4375
69 años	Mujeres	1 de enero de 1997	200.015
69 años	Mujeres	1 de julio de 1996	201.852
69 años	Mujeres	1 de enero de 1996	203.946,59375
69 años	Mujeres	1 de julio de 1995	201.191,796875
69 años	Mujeres	1 de enero de 1995	198.683,359375
69 años	Mujeres	1 de julio de 1994	197.875,125
69 años	Mujeres	1 de enero de 1994	197.222,546875
69 años	Mujeres	1 de julio de 1993	194.660,90625
69 años	Mujeres	1 de enero de 1993	192.236,515625
69 años	Mujeres	1 de julio de 1992	194.089,25
69 años	Mujeres	1 de enero de 1992	196.094,203125
69 años	Mujeres	1 de julio de 1991	188.050,03125
69 años	Mujeres	1 de enero de 1991	180.032,86568
69 años	Mujeres	1 de julio de 1990	180.211,690368
69 años	Mujeres	1 de enero de 1990	180.689,106523
69 años	Mujeres	1 de julio de 1989	169.038,532248
69 años	Mujeres	1 de enero de 1989	157.199,600308
69 años	Mujeres	1 de julio de 1988	159.561,087566
69 años	Mujeres	1 de enero de 1988	162.210,50847
69 años	Mujeres	1 de julio de 1987	158.696,376315
69 años	Mujeres	1 de enero de 1987	155.137,454167
69 años	Mujeres	1 de julio de 1986	154.511,651387
69 años	Mujeres	1 de enero de 1986	154.231,967767
69 años	Mujeres	1 de julio de 1985	156.205,650631
69 años	Mujeres	1 de enero de 1985	158.373,731586
69 años	Mujeres	1 de julio de 1984	159.222,404833
69 años	Mujeres	1 de enero de 1984	160.231,305306
69 años	Mujeres	1 de julio de 1983	158.893,169198
69 años	Mujeres	1 de enero de 1983	157.898,225904
69 años	Mujeres	1 de julio de 1982	158.848,440225
69 años	Mujeres	1 de enero de 1982	159.897,881761
69 años	Mujeres	1 de julio de 1981	156.583,394596
69 años	Mujeres	1 de enero de 1981	153.377,871576
69 años	Mujeres	1 de julio de 1980	157.237,990458
69 años	Mujeres	1 de enero de 1980	161.612,631311
69 años	Mujeres	1 de julio de 1979	155.613,403861
69 años	Mujeres	1 de enero de 1979	149.264,229766
69 años	Mujeres	1 de julio de 1978	148.933,012909
69 años	Mujeres	1 de enero de 1978	148.954,013451
69 años	Mujeres	1 de julio de 1977	146.662,91703
69 años	Mujeres	1 de enero de 1977	144.710,929644
69 años	Mujeres	1 de julio de 1976	143.200,3217
69 años	Mujeres	1 de enero de 1976	142.090,374601
69 años	Mujeres	1 de julio de 1975	144.297,783853
69 años	Mujeres	1 de enero de 1975	147.112,205403
69 años	Mujeres	1 de julio de 1974	142.811,333049
69 años	Mujeres	1 de enero de 1974	138.490,962888
69 años	Mujeres	1 de julio de 1973	137.370,220298
69 años	Mujeres	1 de enero de 1973	136.512,463808
69 años	Mujeres	1 de julio de 1972	135.538,417395
69 años	Mujeres	1 de enero de 1972	134.745,949335
69 años	Mujeres	1 de julio de 1971	127.461,112439
69 años	Mujeres	1 de enero de 1971	120.063,78
70 años	Ambos sexos	1 de julio de 2022	469.651,414917
70 años	Ambos sexos	1 de enero de 2022	454.939,795146
70 años	Ambos sexos	1 de julio de 2021	450.580,332471
70 años	Ambos sexos	1 de enero de 2021	446.948,869883
70 años	Ambos sexos	1 de julio de 2020	456.250,584498
70 años	Ambos sexos	1 de enero de 2020	466.130,299178
70 años	Ambos sexos	1 de julio de 2019	476.865,789093
70 años	Ambos sexos	1 de enero de 2019	488.072,279138
70 años	Ambos sexos	1 de julio de 2018	467.691,116478
70 años	Ambos sexos	1 de enero de 2018	447.885,953928
70 años	Ambos sexos	1 de julio de 2017	438.867,406289
70 años	Ambos sexos	1 de enero de 2017	430.247,858794
70 años	Ambos sexos	1 de julio de 2016	440.878,421083
70 años	Ambos sexos	1 de enero de 2016	451.960,995307
70 años	Ambos sexos	1 de julio de 2015	442.287,028667
70 años	Ambos sexos	1 de enero de 2015	433.115,950341
70 años	Ambos sexos	1 de julio de 2014	430.792,374125
70 años	Ambos sexos	1 de enero de 2014	428.771,86664
70 años	Ambos sexos	1 de julio de 2013	401.077,171869
70 años	Ambos sexos	1 de enero de 2013	373.352,907127
70 años	Ambos sexos	1 de julio de 2012	359.811,57293
70 años	Ambos sexos	1 de enero de 2012	346.387,374505
70 años	Ambos sexos	1 de julio de 2011	386.655,088381
70 años	Ambos sexos	1 de enero de 2011	427.708,099419
70 años	Ambos sexos	1 de julio de 2010	358.073,933839
70 años	Ambos sexos	1 de enero de 2010	287.944,075702
70 años	Ambos sexos	1 de julio de 2009	308.459,054038
70 años	Ambos sexos	1 de enero de 2009	329.391,621451
70 años	Ambos sexos	1 de julio de 2008	350.032,341596
70 años	Ambos sexos	1 de enero de 2008	371.099,447032
70 años	Ambos sexos	1 de julio de 2007	390.254,049646
70 años	Ambos sexos	1 de enero de 2007	410.074,319917
70 años	Ambos sexos	1 de julio de 2006	404.737,718623
70 años	Ambos sexos	1 de enero de 2006	399.691,729414
70 años	Ambos sexos	1 de julio de 2005	399.365,786692
70 años	Ambos sexos	1 de enero de 2005	399.640,430016
70 años	Ambos sexos	1 de julio de 2004	406.444,378218
70 años	Ambos sexos	1 de enero de 2004	413.884,87145
70 años	Ambos sexos	1 de julio de 2003	412.400,411829
70 años	Ambos sexos	1 de enero de 2003	410.975,380538
70 años	Ambos sexos	1 de julio de 2002	402.217,960526
70 años	Ambos sexos	1 de enero de 2002	394.078,680938
70 años	Ambos sexos	1 de julio de 2001	396.811,578125
70 años	Ambos sexos	1 de enero de 2001	400.525,484375
70 años	Ambos sexos	1 de julio de 2000	390.887,625
70 años	Ambos sexos	1 de enero de 2000	381.589,578125
70 años	Ambos sexos	1 de julio de 1999	382.009,15625
70 años	Ambos sexos	1 de enero de 1999	383.004,609375
70 años	Ambos sexos	1 de julio de 1998	372.347,25
70 años	Ambos sexos	1 de enero de 1998	361.844,109375
70 años	Ambos sexos	1 de julio de 1997	365.093,109375
70 años	Ambos sexos	1 de enero de 1997	368.895,65625
70 años	Ambos sexos	1 de julio de 1996	362.120,5
70 años	Ambos sexos	1 de enero de 1996	355.781,25
70 años	Ambos sexos	1 de julio de 1995	354.300,703125
70 años	Ambos sexos	1 de enero de 1995	353.069,609375
70 años	Ambos sexos	1 de julio de 1994	349.522,59375
